"method","path","classification","documented_match","event_count","success_count","failed_count","pages","evidence","note"
"POST","/cmpl/login","ACTIVE","EXACT","1","1","0","/","pagcor-admin-live-scan.json",""
"GET","/cmpl/me/detail","ACTIVE","EXACT","1","1","0","/","pagcor-admin-live-scan.json",""
"GET","/cmpl/online/count","ACTIVE","EXACT","2","2","0","/","pagcor-admin-live-scan.json",""
"POST","/cmpl/report/pagcor/dictionary","ACTIVE","EXACT","20","20","0","/ | /#/reportCenter/pagcor","pagcor-admin-live-scan.json",""
"POST","/cmpl/report/pagcor/list","ACTIVE","EXACT","9","9","0","/ | /#/reportCenter/pagcor","pagcor-admin-live-scan.json",""
"POST","/cmpl/kyc/approve","DOCUMENTED_UNVERIFIED","EXACT_NOT_UI_OBSERVED","0","0","0","","合规/kyc/kyc 审核通过 - owen.bru","Not observed in current UI; not classified STALE"
"POST","/cmpl/kyc/reject","DOCUMENTED_UNVERIFIED","EXACT_NOT_UI_OBSERVED","0","0","0","","合规/kyc/kyc 审核驳回 - owen.bru","Not observed in current UI; not classified STALE"
"POST","/cmpl/kyc/update","DOCUMENTED_UNVERIFIED","EXACT_NOT_UI_OBSERVED","0","0","0","","合规/kyc/更新 kyc - owen.bru","Not observed in current UI; not classified STALE"
"POST","/cmpl/kyc/list","DOCUMENTED_UNVERIFIED","EXACT_NOT_UI_OBSERVED","0","0","0","","合规/kyc/获取 kyc 列表 - owen.bru","Not observed in current UI; not classified STALE"
"GET","/cmpl/kyc/pending/count","DOCUMENTED_UNVERIFIED","EXACT_NOT_UI_OBSERVED","0","0","0","","合规/kyc/获取 kyc 待审批数量.bru","Not observed in current UI; not classified STALE"
"GET","/cmpl/kyc/detail","DOCUMENTED_UNVERIFIED","EXACT_NOT_UI_OBSERVED","0","0","0","","合规/kyc/获取 kyc 详情 - owen.bru","Not observed in current UI; not classified STALE"
"POST","/cmpl/upload/private","DOCUMENTED_UNVERIFIED","EXACT_NOT_UI_OBSERVED","0","0","0","","合规/上传/上传-临时访问 - double.bru","Not observed in current UI; not classified STALE"
"POST","/cmpl/upload/public","DOCUMENTED_UNVERIFIED","EXACT_NOT_UI_OBSERVED","0","0","0","","合规/上传/上传-公开访问 - double.bru","Not observed in current UI; not classified STALE"
"GET","/cmpl/finance/transaction/list","DOCUMENTED_UNVERIFIED","EXACT_NOT_UI_OBSERVED","0","0","0","","合规/交易管理/交易记录- wesley.bru","Not observed in current UI; not classified STALE"
"POST","/cmpl/finance/transaction/export","DOCUMENTED_UNVERIFIED","EXACT_NOT_UI_OBSERVED","0","0","0","","合规/交易管理/交易记录导出-wesley.bru","Not observed in current UI; not classified STALE"
"GET","/cmpl/finance/transaction/types","DOCUMENTED_UNVERIFIED","EXACT_NOT_UI_OBSERVED","0","0","0","","合规/交易管理/账变类型- wesley.bru","Not observed in current UI; not classified STALE"
"GET","/cmpl/member/list","DOCUMENTED_UNVERIFIED","EXACT_NOT_UI_OBSERVED","0","0","0","","合规/会员列表/会员列表 - seven-double.bru","Not observed in current UI; not classified STALE"
"GET","/cmpl/member/withdrawal/limit","DOCUMENTED_UNVERIFIED","EXACT_NOT_UI_OBSERVED","0","0","0","","合规/会员列表/提现限额.bru","Not observed in current UI; not classified STALE"
"GET","/cmpl/member/export","DOCUMENTED_UNVERIFIED","EXACT_NOT_UI_OBSERVED","0","0","0","","合规/会员列表/数据导出 - seven-double.bru","Not observed in current UI; not classified STALE"
"POST","/cmpl/member/insert","DOCUMENTED_UNVERIFIED","EXACT_NOT_UI_OBSERVED","0","0","0","","合规/会员列表/新增会员 - seven-double.bru","Not observed in current UI; not classified STALE"
"POST","/cmpl/member/update","DOCUMENTED_UNVERIFIED","EXACT_NOT_UI_OBSERVED","0","0","0","","合规/会员列表/更新会员 - seven-double.bru","Not observed in current UI; not classified STALE"
"POST","/cmpl/member/update/password","DOCUMENTED_UNVERIFIED","EXACT_NOT_UI_OBSERVED","0","0","0","","合规/会员列表/重置会员密码.bru","Not observed in current UI; not classified STALE"
"GET","/cmpl/venue/list","DOCUMENTED_UNVERIFIED","EXACT_NOT_UI_OBSERVED","0","0","0","","合规/厂商管理/厂商列表-light.bru","Not observed in current UI; not classified STALE"
"GET","/cmpl/member/log/list","DOCUMENTED_UNVERIFIED","EXACT_NOT_UI_OBSERVED","0","0","0","","合规/后台日志/会员登录日志-seven.bru","Not observed in current UI; not classified STALE"
"POST","/cmpl/log/list","DOCUMENTED_UNVERIFIED","EXACT_NOT_UI_OBSERVED","0","0","0","","合规/后台日志/日志-seven.bru","Not observed in current UI; not classified STALE"
"POST","/cmpl/user/update","DOCUMENTED_UNVERIFIED","EXACT_NOT_UI_OBSERVED","0","0","0","","合规/后台账号管理/修改账户信息-seven.bru","Not observed in current UI; not classified STALE"
"POST","/cmpl/member/retrieve/password","DOCUMENTED_UNVERIFIED","EXACT_NOT_UI_OBSERVED","0","0","0","","合规/后台账号管理/后台会员密码otp重置.bru","Not observed in current UI; not classified STALE"
"GET","/cmpl/user/delete","DOCUMENTED_UNVERIFIED","EXACT_NOT_UI_OBSERVED","0","0","0","","合规/后台账号管理/后台删除账户-seven.bru","Not observed in current UI; not classified STALE"
"POST","/cmpl/user/update/password","DOCUMENTED_UNVERIFIED","EXACT_NOT_UI_OBSERVED","0","0","0","","合规/后台账号管理/后台员工修改密码.bru","Not observed in current UI; not classified STALE"
